Advisor Name,Experience (Years),Profession,Certifications,Region,Rating (Out of 5)
Diya Nambiar,18,Chartered Accountant,"CPA, CFP",Arunachal Pradesh,3.3
Meera Mehta,12,Chartered Accountant,FRM,Arunachal Pradesh,3.4
Arjun Gupta,20,Wealth Manager,CFP,Arunachal Pradesh,4.1
Saanvi Joshi,11,Chartered Accountant,CA,Arunachal Pradesh,3.4
Aadhya Nair,29,Chartered Accountant,"FRM, CA",Arunachal Pradesh,4.2
Aarohi Kapoor,12,Tax Consultant,"SEBI RIA, CFA",Arunachal Pradesh,3.0
Aarohi Tiwari,17,Wealth Manager,"SEBI RIA, CPA",Arunachal Pradesh,3.8
Sai Sharma,21,Tax Consultant,"SEBI RIA, CPA",Arunachal Pradesh,4.1
Reyansh Rao,23,Tax Consultant,"FRM, CFA",Arunachal Pradesh,3.8
Meera Kapoor,30,Tax Consultant,SEBI RIA,Arunachal Pradesh,3.6
Pari Joshi,28,Financial Planner,CFP,Arunachal Pradesh,3.4
Myra Saxena,7,Tax Consultant,CFA,Arunachal Pradesh,3.7
Arjun Tiwari,6,Wealth Manager,SEBI RIA,Arunachal Pradesh,3.1
Pari Iyer,17,Investment Advisor,CA,Assam,4.2
Anaya Sharma,22,Chartered Accountant,CPA,Assam,4.0
Ishaan Rao,19,Tax Consultant,CA,Assam,3.2
Meera Kulkarni,24,Wealth Manager,"SEBI RIA, CFA",Assam,3.6
Krishna Joshi,12,Tax Consultant,"CPA, CFA",Assam,3.3
Anaya Kulkarni,24,Investment Advisor,"CFA, SEBI RIA",Assam,3.1
Ishaan Agarwal,4,Financial Planner,CFA,Assam,3.6
Anaya Tiwari,30,Investment Advisor,SEBI RIA,Assam,4.5
Anaya Agarwal,21,Tax Consultant,FRM,Assam,3.6
Anaya Bansal,24,Chartered Accountant,"CPA, FRM",Assam,3.5
Krishna Sharma,2,Investment Advisor,"CFA, CA",Assam,3.8
Pari Patel,9,Chartered Accountant,"CPA, FRM",Assam,4.5
Aadhya Mehta,7,Tax Consultant,"CFP, FRM",Assam,4.2
Myra Kulkarni,3,Investment Advisor,SEBI RIA,Assam,3.1
Anaya Saxena,18,Financial Planner,FRM,Assam,4.0
Diya Gupta,18,Chartered Accountant,CFA,Assam,3.5
Avni Kulkarni,15,Financial Planner,CA,Assam,3.5
Aarav Kulkarni,28,Financial Planner,"CFA, CPA",Assam,4.4
Pari Kapoor,16,Chartered Accountant,"CFA, CPA",Assam,3.6
Ayaan Nair,13,Investment Advisor,CFP,Assam,3.6
Aarohi Sharma,2,Wealth Manager,CFA,Assam,4.4
Myra Sharma,12,Chartered Accountant,"CPA, SEBI RIA",Assam,4.5
Myra Nambiar,29,Wealth Manager,CFA,Assam,4.6
Saanvi Nair,5,Investment Advisor,"SEBI RIA, CFP",Assam,4.8
Krishna Bansal,30,Financial Planner,CPA,Assam,4.8
Avni Verma,5,Chartered Accountant,CPA,Assam,4.2
Avni Rao,1,Financial Planner,CFP,Assam,3.2
Reyansh Mehta,17,Investment Advisor,CFP,Assam,4.0
Pari Nair,12,Financial Planner,"CPA, CFA",Assam,4.9
Sai Saxena,16,Investment Advisor,CFA,Assam,3.7
Arjun Reddy,29,Financial Planner,CFA,Bihar,4.0
Vihaan Saxena,25,Chartered Accountant,SEBI RIA,Bihar,4.2
Saanvi Malhotra,30,Chartered Accountant,CFA,Bihar,3.6
Avni Kapoor,3,Investment Advisor,FRM,Bihar,3.5
Anaya Nair,24,Financial Planner,"CFA, CFP",Bihar,4.2
Aarohi Patel,3,Wealth Manager,"CA, CFA",Bihar,4.9
Vihaan Tiwari,21,Chartered Accountant,CFP,Bihar,5.0
Vihaan Kapoor,23,Wealth Manager,"FRM, CFP",Bihar,3.6
Saanvi Rao,9,Financial Planner,CFP,Bihar,3.9
Saanvi Tiwari,29,Investment Advisor,CA,Bihar,4.2
Ishaan Malhotra,14,Financial Planner,CFA,Bihar,3.2
Krishna Gupta,14,Wealth Manager,CPA,Bihar,4.6
Meera Saxena,10,Financial Planner,SEBI RIA,Bihar,3.7
Anaya Nambiar,2,Investment Advisor,"CFA, FRM",Bihar,4.9
Avni Iyer,18,Financial Planner,"FRM, CA",Bihar,3.2
Saanvi Kulkarni,2,Investment Advisor,SEBI RIA,Bihar,3.5
Pari Tiwari,19,Chartered Accountant,"CFP, CFA",Bihar,3.6
Ayaan Malhotra,12,Financial Planner,FRM,Bihar,3.6
Vivaan Joshi,15,Chartered Accountant,"SEBI RIA, CPA",Bihar,3.3
Diya Rao,6,Tax Consultant,CA,Bihar,4.9
Aadhya Patel,12,Tax Consultant,"CFA, FRM",Bihar,3.7
Kiara Nair,11,Tax Consultant,CA,Bihar,4.4
Diya Malhotra,10,Investment Advisor,"CPA, FRM",Bihar,4.0
Aditya Patel,14,Investment Advisor,CPA,Bihar,4.2
Meera Iyer,22,Chartered Accountant,"CFA, CFP",Bihar,4.4
Myra Desai,30,Financial Planner,CFA,Bihar,3.6
Sai Mehta,12,Chartered Accountant,"CFP, SEBI RIA",Bihar,3.1
Aadhya Tiwari,16,Financial Planner,"CPA, CFA",Bihar,3.7
Meera Rao,2,Financial Planner,"CFP, FRM",Bihar,3.4
Aarohi Iyer,3,Wealth Manager,"CA, FRM",Bihar,4.9
Ayaan Desai,14,Tax Consultant,"CFP, CA",Chhattisgarh,4.5
Reyansh Agarwal,5,Chartered Accountant,CA,Chhattisgarh,3.1
Arjun Desai,16,Financial Planner,"CFA, CFP",Chhattisgarh,4.8
Arjun Kapoor,16,Investment Advisor,FRM,Chhattisgarh,3.7
Ayaan Iyer,2,Financial Planner,"CFA, FRM",Chhattisgarh,3.5
Vihaan Patel,29,Wealth Manager,"CFA, CFP",Chhattisgarh,4.3
Aditya Gupta,29,Chartered Accountant,"CA, CPA",Chhattisgarh,3.1
Krishna Chowdhury,30,Investment Advisor,"CFA, CA",Chhattisgarh,3.8
Pari Agarwal,9,Tax Consultant,"FRM, CFA",Chhattisgarh,4.8
Avni Patel,27,Tax Consultant,"CPA, CFP",Chhattisgarh,3.4
Ayaan Tiwari,30,Wealth Manager,SEBI RIA,Chhattisgarh,4.4
Saanvi Kapoor,4,Financial Planner,CPA,Chhattisgarh,4.3
Aarohi Desai,7,Financial Planner,"SEBI RIA, FRM",Chhattisgarh,3.7
Sai Patel,23,Investment Advisor,CA,Chhattisgarh,3.8
Myra Malhotra,22,Investment Advisor,"CFP, FRM",Chhattisgarh,3.4
Meera Patel,30,Investment Advisor,"CFA, CFP",Chhattisgarh,4.4
Aadhya Joshi,3,Tax Consultant,CPA,Chhattisgarh,3.4
Reyansh Sharma,10,Investment Advisor,CPA,Chhattisgarh,3.5
Diya Chowdhury,13,Wealth Manager,"CPA, SEBI RIA",Chhattisgarh,4.9
Diya Patel,20,Investment Advisor,"CFA, CA",Chhattisgarh,4.8
Meera Verma,4,Investment Advisor,"CA, CPA",Chhattisgarh,4.1
Diya Iyer,13,Investment Advisor,"SEBI RIA, FRM",Chhattisgarh,4.7
Saanvi Iyer,7,Chartered Accountant,CA,Chhattisgarh,3.3
Aarohi Nair,6,Tax Consultant,SEBI RIA,Chhattisgarh,3.2
Aarav Reddy,29,Chartered Accountant,"SEBI RIA, CPA",Chhattisgarh,4.9
Avni Joshi,21,Wealth Manager,CFP,Chhattisgarh,3.7
Avni Chowdhury,13,Financial Planner,FRM,Chhattisgarh,3.4
Diya Verma,24,Wealth Manager,CFP,Chhattisgarh,3.1
Ayaan Reddy,26,Financial Planner,"CFP, SEBI RIA",Chhattisgarh,4.1
Aadhya Malhotra,22,Wealth Manager,"CFA, CFP",Chhattisgarh,3.1
Saanvi Nambiar,12,Chartered Accountant,SEBI RIA,Goa,3.1
Sai Joshi,8,Tax Consultant,"CFA, CPA",Goa,4.9
Vihaan Nair,11,Chartered Accountant,FRM,Goa,4.6
Aadhya Verma,14,Wealth Manager,"CPA, CFA",Goa,4.6
Anaya Gupta,23,Investment Advisor,CPA,Goa,3.6
Aadhya Kulkarni,24,Tax Consultant,CFP,Goa,4.1
Saanvi Verma,26,Investment Advisor,"SEBI RIA, CFA",Goa,4.6
Vihaan Bansal,10,Tax Consultant,FRM,Goa,4.9
Saanvi Mehta,21,Chartered Accountant,FRM,Goa,4.2
Arjun Chowdhury,26,Tax Consultant,SEBI RIA,Goa,3.5
Vivaan Desai,9,Chartered Accountant,CPA,Goa,4.2
Krishna Agarwal,4,Investment Advisor,"FRM, SEBI RIA",Goa,4.6
Krishna Patel,20,Tax Consultant,"FRM, CA",Goa,3.1
Ayaan Patel,18,Wealth Manager,"FRM, SEBI RIA",Goa,4.2
Krishna Kulkarni,7,Chartered Accountant,CFA,Goa,3.3
Avni Reddy,30,Investment Advisor,"CPA, CFP",Goa,3.1
Aarohi Joshi,5,Investment Advisor,"CFP, CPA",Goa,3.3
Sai Kapoor,29,Wealth Manager,CPA,Goa,3.9
Reyansh Nambiar,13,Tax Consultant,"CFP, FRM",Goa,4.5
Diya Bansal,23,Financial Planner,"CFP, CA",Goa,4.8
Ayaan Nambiar,23,Investment Advisor,"CA, CPA",Goa,3.7
Reyansh Desai,3,Investment Advisor,CA,Goa,4.5
Arjun Rao,21,Chartered Accountant,"CPA, CFP",Goa,5.0
Aditya Saxena,9,Financial Planner,"CFP, CPA",Goa,4.8
Kiara Kulkarni,5,Tax Consultant,"CFA, CFP",Goa,5.0
Anaya Mehta,14,Tax Consultant,CFP,Goa,4.6
Kiara Reddy,17,Chartered Accountant,"CA, CFA",Goa,3.6
Myra Reddy,4,Chartered Accountant,"CFA, CFP",Goa,3.4
Arjun Agarwal,26,Chartered Accountant,CA,Goa,3.3
Anaya Desai,15,Financial Planner,SEBI RIA,Goa,4.4
Reyansh Gupta,26,Financial Planner,FRM,Gujarat,4.4
Ishaan Chowdhury,29,Tax Consultant,"SEBI RIA, CFP",Gujarat,3.6
Aditya Mehta,2,Investment Advisor,CA,Gujarat,3.6
Diya Nair,30,Tax Consultant,FRM,Gujarat,5.0
Kiara Desai,18,Investment Advisor,CFA,Gujarat,3.4
Vivaan Agarwal,2,Tax Consultant,"CPA, CFP",Gujarat,4.6
Sai Nair,26,Investment Advisor,FRM,Gujarat,3.1
Vivaan Sharma,6,Financial Planner,"CA, CFA",Gujarat,4.2
Vivaan Tiwari,2,Wealth Manager,"SEBI RIA, FRM",Gujarat,4.3
Krishna Mehta,29,Financial Planner,CPA,Gujarat,4.3
Vivaan Patel,20,Wealth Manager,CPA,Gujarat,3.8
Vivaan Reddy,11,Chartered Accountant,CPA,Gujarat,4.9
Saanvi Sharma,24,Tax Consultant,CFP,Gujarat,3.3
Arjun Sharma,8,Financial Planner,"CFA, CFP",Gujarat,3.8
Sai Tiwari,26,Tax Consultant,CPA,Gujarat,3.2
Meera Reddy,9,Investment Advisor,"CFA, FRM",Gujarat,3.3
Diya Mehta,1,Wealth Manager,"CFA, SEBI RIA",Gujarat,4.7
Anaya Reddy,15,Wealth Manager,CFP,Gujarat,3.2
Ishaan Nair,13,Wealth Manager,"CFA, SEBI RIA",Gujarat,3.7
Meera Desai,5,Investment Advisor,SEBI RIA,Gujarat,4.0
Myra Rao,2,Investment Advisor,"FRM, CFA",Gujarat,3.4
Vivaan Gupta,19,Investment Advisor,"CFP, CPA",Gujarat,3.0
Sai Verma,7,Chartered Accountant,SEBI RIA,Gujarat,4.4
Aadhya Reddy,10,Chartered Accountant,"CFA, FRM",Gujarat,4.9
Vihaan Reddy,26,Tax Consultant,FRM,Gujarat,3.2
Diya Reddy,18,Financial Planner,CA,Gujarat,3.9
Ayaan Rao,16,Investment Advisor,CA,Gujarat,3.3
Pari Saxena,5,Financial Planner,CA,Gujarat,3.8
Saanvi Gupta,15,Chartered Accountant,CFA,Gujarat,3.3
Vihaan Mehta,5,Investment Advisor,CPA,Gujarat,3.7
Kiara Mehta,22,Financial Planner,CPA,Haryana,4.9
Kiara Sharma,22,Chartered Accountant,"CFA, CA",Haryana,3.4
Myra Joshi,29,Financial Planner,CA,Haryana,4.5
Kiara Iyer,18,Tax Consultant,"CFP, FRM",Haryana,4.9
Diya Desai,5,Investment Advisor,SEBI RIA,Haryana,4.4
Sai Kulkarni,18,Wealth Manager,CFP,Haryana,4.7
Sai Desai,2,Financial Planner,"CFP, CPA",Haryana,3.6
Vihaan Agarwal,27,Wealth Manager,"FRM, CFA",Haryana,4.7
Aditya Chowdhury,20,Wealth Manager,"CFP, FRM",Haryana,3.8
Myra Verma,12,Investment Advisor,"CFP, SEBI RIA",Haryana,3.7
Aadhya Rao,12,Financial Planner,FRM,Haryana,3.9
Saanvi Patel,14,Investment Advisor,"CFA, CFP",Haryana,4.2
Aditya Bansal,8,Wealth Manager,CPA,Haryana,3.6
Pari Desai,20,Financial Planner,FRM,Haryana,3.1
Krishna Rao,16,Investment Advisor,"CFP, FRM",Haryana,3.1
Kiara Rao,21,Financial Planner,"CFA, CFP",Haryana,4.9
Aditya Desai,3,Chartered Accountant,CFP,Haryana,3.3
Ayaan Saxena,14,Tax Consultant,FRM,Haryana,4.5
Aarav Patel,26,Investment Advisor,"CA, SEBI RIA",Haryana,4.1
Avni Desai,25,Investment Advisor,"CPA, FRM",Haryana,3.2
Krishna Verma,9,Chartered Accountant,CFA,Haryana,3.5
Aarohi Verma,4,Chartered Accountant,"SEBI RIA, CPA",Haryana,3.3
Aadhya Kapoor,21,Investment Advisor,CFP,Haryana,4.6
Reyansh Iyer,27,Investment Advisor,"CFA, CFP",Haryana,4.3
Vihaan Gupta,5,Tax Consultant,CFA,Haryana,3.6
Vihaan Sharma,25,Wealth Manager,"CA, CPA",Haryana,3.9
Aarav Bansal,19,Wealth Manager,"SEBI RIA, CFP",Haryana,4.7
Meera Chowdhury,24,Wealth Manager,"CPA, FRM",Haryana,3.6
Meera Bansal,2,Tax Consultant,SEBI RIA,Haryana,4.3
Meera Tiwari,11,Chartered Accountant,"CPA, SEBI RIA",Haryana,3.7
Arjun Nambiar,29,Tax Consultant,CFP,Himachal Pradesh,4.2
Vivaan Mehta,21,Financial Planner,FRM,Himachal Pradesh,4.5
Saanvi Chowdhury,18,Chartered Accountant,"SEBI RIA, FRM",Himachal Pradesh,4.9
Ishaan Verma,19,Chartered Accountant,"CFP, CFA",Himachal Pradesh,3.4
Arjun Kulkarni,14,Financial Planner,"CFA, FRM",Himachal Pradesh,4.8
Pari Sharma,26,Financial Planner,"SEBI RIA, CPA",Himachal Pradesh,4.1
Saanvi Reddy,18,Investment Advisor,CPA,Himachal Pradesh,4.3
Aditya Joshi,13,Investment Advisor,"CA, CFA",Himachal Pradesh,3.4
Vivaan Nair,14,Wealth Manager,FRM,Himachal Pradesh,3.7
Diya Tiwari,13,Financial Planner,"FRM, CFP",Himachal Pradesh,4.3
Saanvi Saxena,2,Wealth Manager,"CA, CFP",Himachal Pradesh,3.2
Ishaan Joshi,21,Financial Planner,"FRM, CPA",Himachal Pradesh,3.3
Aditya Sharma,27,Chartered Accountant,"SEBI RIA, CFP",Himachal Pradesh,4.2
Kiara Nambiar,19,Wealth Manager,"CPA, SEBI RIA",Himachal Pradesh,3.1
Aditya Nair,19,Wealth Manager,"CA, CFA",Himachal Pradesh,4.3
Anaya Malhotra,15,Wealth Manager,"CFP, SEBI RIA",Himachal Pradesh,3.4
Aditya Nambiar,24,Wealth Manager,CFP,Himachal Pradesh,3.9
Ishaan Saxena,7,Tax Consultant,"CFA, CFP",Himachal Pradesh,3.3
Avni Tiwari,4,Wealth Manager,"CFP, SEBI RIA",Himachal Pradesh,3.1
Meera Nambiar,4,Financial Planner,CPA,Himachal Pradesh,3.2
Meera Agarwal,2,Investment Advisor,CPA,Himachal Pradesh,4.3
Arjun Malhotra,19,Investment Advisor,"SEBI RIA, CPA",Himachal Pradesh,3.4
Pari Verma,5,Financial Planner,"SEBI RIA, CPA",Himachal Pradesh,4.3
Aditya Rao,28,Chartered Accountant,"SEBI RIA, FRM",Himachal Pradesh,4.9
Diya Agarwal,29,Wealth Manager,FRM,Himachal Pradesh,4.7
Aarohi Agarwal,18,Investment Advisor,CPA,Himachal Pradesh,3.0
Vivaan Saxena,29,Investment Advisor,"CA, FRM",Himachal Pradesh,4.8
Myra Patel,19,Wealth Manager,CA,Himachal Pradesh,3.9
Arjun Iyer,5,Wealth Manager,SEBI RIA,Himachal Pradesh,4.4
Vivaan Kapoor,2,Chartered Accountant,"CPA, SEBI RIA",Himachal Pradesh,4.3
Krishna Saxena,2,Financial Planner,"CFP, CPA",Jharkhand,4.0
Aarav Saxena,4,Tax Consultant,"CFP, CFA",Jharkhand,3.8
Vivaan Bansal,9,Chartered Accountant,"FRM, SEBI RIA",Jharkhand,3.6
Aarav Verma,23,Wealth Manager,"CPA, CA",Jharkhand,3.5
Kiara Bansal,1,Tax Consultant,FRM,Jharkhand,3.5
Sai Chowdhury,18,Financial Planner,CPA,Jharkhand,4.0
Kiara Chowdhury,11,Tax Consultant,CPA,Jharkhand,4.5
Aarav Gupta,24,Investment Advisor,"CFA, SEBI RIA",Jharkhand,4.0
Reyansh Bansal,5,Tax Consultant,CPA,Jharkhand,4.1
Kiara Tiwari,14,Investment Advisor,"CFA, CFP",Jharkhand,3.3
Sai Reddy,25,Wealth Manager,"CFA, SEBI RIA",Jharkhand,3.8
Krishna Nambiar,3,Tax Consultant,"CA, CFP",Jharkhand,4.6
Aditya Kulkarni,29,Tax Consultant,CPA,Jharkhand,3.9
Avni Agarwal,25,Investment Advisor,"SEBI RIA, CFP",Jharkhand,4.8
Kiara Gupta,13,Tax Consultant,SEBI RIA,Jharkhand,4.8
Vihaan Iyer,25,Chartered Accountant,CFP,Jharkhand,4.8
Aarohi Mehta,12,Financial Planner,"FRM, CFA",Jharkhand,4.2
Aarohi Chowdhury,28,Financial Planner,"CFP, FRM",Jharkhand,4.7
Kiara Saxena,2,Wealth Manager,CFA,Jharkhand,4.6
Pari Chowdhury,17,Tax Consultant,"CPA, CFP",Jharkhand,3.8
Aarav Tiwari,25,Investment Advisor,"FRM, CA",Jharkhand,4.6
Aditya Iyer,20,Chartered Accountant,SEBI RIA,Jharkhand,4.4
Diya Kulkarni,19,Tax Consultant,"CA, CFP",Jharkhand,3.7
Aarohi Gupta,19,Chartered Accountant,CPA,Jharkhand,3.6
Krishna Tiwari,24,Investment Advisor,"CFA, CFP",Jharkhand,3.4
Ishaan Patel,25,Wealth Manager,CA,Jharkhand,3.9
Arjun Mehta,28,Wealth Manager,"CA, SEBI RIA",Jharkhand,4.6
Sai Nambiar,25,Financial Planner,"CFP, CFA",Jharkhand,4.4
Reyansh Joshi,29,Chartered Accountant,"SEBI RIA, CFA",Jharkhand,3.1
Ishaan Iyer,5,Chartered Accountant,"CFP, SEBI RIA",Jharkhand,4.3
Aditya Malhotra,11,Financial Planner,"CFA, SEBI RIA",Karnataka,4.7
Meera Sharma,19,Tax Consultant,"SEBI RIA, CFA",Karnataka,4.8
Sai Agarwal,7,Wealth Manager,"CPA, SEBI RIA",Karnataka,3.0
Aditya Kapoor,18,Investment Advisor,FRM,Karnataka,3.6
Myra Chowdhury,29,Tax Consultant,"SEBI RIA, CFA",Karnataka,3.4
Meera Nair,14,Wealth Manager,CFP,Karnataka,4.5
Anaya Joshi,24,Chartered Accountant,CFA,Karnataka,3.9
Ishaan Reddy,3,Financial Planner,FRM,Karnataka,3.9
Arjun Nair,19,Tax Consultant,"SEBI RIA, CFP",Karnataka,3.3
Myra Agarwal,11,Chartered Accountant,CPA,Karnataka,4.6
Vivaan Nambiar,21,Financial Planner,SEBI RIA,Karnataka,3.2
Aadhya Desai,15,Wealth Manager,"CA, SEBI RIA",Karnataka,3.4
Vivaan Rao,17,Chartered Accountant,"SEBI RIA, CFP",Karnataka,3.7
Vivaan Malhotra,16,Chartered Accountant,"SEBI RIA, CA",Karnataka,3.5
Aadhya Gupta,9,Chartered Accountant,SEBI RIA,Karnataka,3.9
Vihaan Desai,19,Investment Advisor,"CFA, CFP",Karnataka,3.5
Vihaan Joshi,29,Financial Planner,"CA, CFA",Karnataka,4.4
Aarav Agarwal,3,Chartered Accountant,"CA, CFA",Karnataka,4.9
Aarav Nair,27,Financial Planner,SEBI RIA,Karnataka,3.8
Vihaan Kulkarni,22,Investment Advisor,"CA, FRM",Karnataka,3.7
Aarav Chowdhury,10,Tax Consultant,"CPA, SEBI RIA",Karnataka,3.1
Aadhya Agarwal,21,Wealth Manager,CFA,Karnataka,3.9
Ishaan Desai,25,Investment Advisor,"CFA, FRM",Karnataka,3.4
Arjun Verma,16,Investment Advisor,"FRM, CFA",Karnataka,3.8
Aadhya Chowdhury,28,Chartered Accountant,"FRM, CA",Karnataka,4.5
Reyansh Saxena,5,Investment Advisor,"SEBI RIA, CPA",Karnataka,3.5
Ishaan Bansal,16,Chartered Accountant,CA,Karnataka,4.5
Avni Sharma,16,Chartered Accountant,CPA,Karnataka,3.6
Saanvi Agarwal,28,Tax Consultant,CA,Karnataka,4.9
Ayaan Gupta,27,Financial Planner,"SEBI RIA, CFP",Karnataka,3.1
Reyansh Kapoor,4,Tax Consultant,SEBI RIA,Kerala,3.9
Ayaan Bansal,29,Chartered Accountant,FRM,Kerala,3.3
Ishaan Sharma,18,Investment Advisor,"CPA, CA",Kerala,3.4
Ishaan Gupta,13,Chartered Accountant,CFP,Kerala,3.7
Anaya Verma,15,Investment Advisor,"CPA, CFP",Kerala,4.7
Diya Kapoor,24,Wealth Manager,CA,Kerala,4.2
Kiara Agarwal,18,Financial Planner,"CFP, CPA",Kerala,4.5
Anaya Chowdhury,7,Tax Consultant,CPA,Kerala,4.9
Ishaan Tiwari,29,Tax Consultant,"CPA, CFA",Kerala,3.1
Aarohi Bansal,13,Investment Advisor,"CFA, CA",Kerala,4.6
Vihaan Chowdhury,13,Tax Consultant,CPA,Kerala,4.8
Aadhya Nambiar,13,Chartered Accountant,CA,Kerala,4.1
Ayaan Agarwal,9,Chartered Accountant,FRM,Kerala,4.5
Krishna Kapoor,24,Tax Consultant,"FRM, CFA",Kerala,3.8
Ishaan Kapoor,9,Investment Advisor,CA,Kerala,3.2
Aditya Tiwari,6,Chartered Accountant,CA,Kerala,4.4
Sai Gupta,11,Wealth Manager,"CFP, CFA",Kerala,3.1
Kiara Patel,7,Wealth Manager,"CA, CFP",Kerala,3.6
Vihaan Nambiar,17,Investment Advisor,"CFA, FRM",Kerala,4.8
Ayaan Verma,20,Tax Consultant,CA,Kerala,3.5
Reyansh Kulkarni,1,Financial Planner,CA,Kerala,4.4
Reyansh Reddy,29,Wealth Manager,"FRM, CFP",Kerala,3.4
Kiara Verma,26,Investment Advisor,"FRM, CA",Kerala,4.5
Aarohi Malhotra,8,Investment Advisor,"CFA, SEBI RIA",Kerala,3.4
Diya Joshi,12,Financial Planner,SEBI RIA,Kerala,3.4
Pari Kulkarni,21,Investment Advisor,FRM,Kerala,4.1
Reyansh Nair,8,Financial Planner,CFP,Kerala,3.8
Aarav Nambiar,15,Financial Planner,"CPA, CFP",Kerala,4.4
Myra Gupta,13,Financial Planner,CA,Kerala,3.6
Diya Saxena,28,Wealth Manager,CA,Kerala,4.9
Ayaan Chowdhury,22,Tax Consultant,CPA,Madhya Pradesh,3.0
Anaya Patel,1,Investment Advisor,"CFP, SEBI RIA",Madhya Pradesh,3.2
Avni Bansal,26,Wealth Manager,SEBI RIA,Madhya Pradesh,4.7
Anaya Kapoor,18,Financial Planner,"CFA, CA",Madhya Pradesh,4.6
Saanvi Bansal,3,Financial Planner,"SEBI RIA, CFP",Madhya Pradesh,4.0
Aarav Sharma,21,Wealth Manager,"CFP, SEBI RIA",Madhya Pradesh,4.4
Ishaan Nambiar,11,Wealth Manager,FRM,Madhya Pradesh,3.5
Reyansh Patel,19,Financial Planner,CA,Madhya Pradesh,3.9
Aadhya Sharma,16,Investment Advisor,CA,Madhya Pradesh,3.6
